PageTitle;PageID;RevisionID;Time(calendar);Time(milliseconds);InteractionType;WordCount;IsAnonymous;ActiveUser;TargetAuthor;UndoTarget;RedoTarget
"George W. Bush";3414021;331658893;2001-11-27T16:04:38Z;1003909929000;ADDED;435;0;"Aristotle~enwiki";;;
"George W. Bush";3414021;331658894;2001-11-27T16:39:21Z;1006873478000;ADDED;6;0;"151.188.17.xxx";;;
"George W. Bush";3414021;331658894;2001-11-27T16:39:21Z;1006873478000;DELETED;3;0;"151.188.17.xxx";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;331658895;2001-12-08T22:34:09Z;1006875561000;DELETED;6;0;"The ansible";"151.188.17.xxx";"151.188.17.xxx";""
"George W. Bush";3414021;331658895;2001-12-08T22:34:09Z;1006875561000;RESTORED;3;0;"The ansible";"Aristotle~enwiki";"151.188.17.xxx";"Aristotle~enwiki"
"George W. Bush";3414021;8574472;2001-12-17T13:37:54Z;1007847681000;ADDED;28;0;"208.144.114.xxx";;;
"George W. Bush";3414021;8574472;2001-12-17T13:37:54Z;1007847681000;DELETED;10;0;"208.144.114.xxx";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574476;2001-12-20T04:48:35Z;1008799931000;DELETED;1;0;"144.132.75.xxx";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574478;2001-12-24T18:08:34Z;1008820115000;ADDED;261;0;"The Cunctator";;;
"George W. Bush";3414021;8574478;2001-12-24T18:08:34Z;1008820115000;DELETED;4;0;"The Cunctator";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574482;2001-12-24T21:54:48Z;1009213771000;ADDED;100;0;"65.164.176.xxx";;;
"George W. Bush";3414021;8574482;2001-12-24T21:54:48Z;1009213771000;DELETED;9;0;"65.164.176.xxx";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574482;2001-12-24T21:54:48Z;1009213771000;DELETED;8;0;"65.164.176.xxx";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574484;2001-12-25T00:55:09Z;1009227288000;ADDED;20;0;"Andrew Blair";;;
"George W. Bush";3414021;8574486;2001-12-25T15:25:15Z;1009238109000;ADDED;1;0;"The Cunctator";;;
"George W. Bush";3414021;8574486;2001-12-25T15:25:15Z;1009238109000;DELETED;9;0;"The Cunctator";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574488;2001-12-26T13:58:48Z;1009290315000;DELETED;1;0;"The Epopt";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574490;2001-12-26T15:38:56Z;1009371528000;ADDED;37;0;"Andrew Blair";;;
"George W. Bush";3414021;8574490;2001-12-26T15:38:56Z;1009371528000;DELETED;1;0;"Andrew Blair";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574490;2001-12-26T15:38:56Z;1009371528000;DELETED;6;0;"Andrew Blair";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574490;2001-12-26T15:38:56Z;1009371528000;DELETED;16;0;"Andrew Blair";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574492;2001-12-28T03:51:56Z;1009377536000;ADDED;6;0;"Verloren";;;
"George W. Bush";3414021;8574492;2001-12-28T03:51:56Z;1009377536000;DELETED;4;0;"Verloren";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574494;2001-12-28T05:54:19Z;1009507916000;ADDED;42;0;"The Cunctator";;;
"George W. Bush";3414021;8574494;2001-12-28T05:54:19Z;1009507916000;DELETED;1;0;"The Cunctator";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574494;2001-12-28T05:54:19Z;1009507916000;DELETED;19;0;"The Cunctator";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574496;2002-01-01T18:04:49Z;1009515259000;ADDED;16;0;"Newfers";;;
"George W. Bush";3414021;8574496;2002-01-01T18:04:49Z;1009515259000;DELETED;1;0;"Newfers";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574496;2002-01-01T18:04:49Z;1009515259000;DELETED;2;0;"Newfers";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;ADDED;7;0;"Andrew Blair";;;
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;DELETED;4;0;"Andrew Blair";"Newfers";"Newfers";""
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;DELETED;2;0;"Andrew Blair";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;DELETED;20;0;"Andrew Blair";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;DELETED;7;0;"Andrew Blair";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574500;2002-01-01T20:36:29Z;1009904767000;DELETED;46;0;"Andrew Blair";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574504;2002-01-01T21:46:02Z;1009914429000;ADDED;108;0;"The Cunctator";;;
"George W. Bush";3414021;8574504;2002-01-01T21:46:02Z;1009914429000;DELETED;12;0;"The Cunctator";"Newfers";"Newfers";""
"George W. Bush";3414021;8574504;2002-01-01T21:46:02Z;1009914429000;DELETED;3;0;"The Cunctator";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574504;2002-01-01T21:46:02Z;1009914429000;DELETED;5;0;"The Cunctator";"Andrew Blair";"Andrew Blair";""
"George W. Bush";3414021;8574504;2002-01-01T21:46:02Z;1009914429000;DELETED;1;0;"The Cunctator";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574506;2002-01-02T18:35:22Z;1009917962000;ADDED;100;0;"144.132.75.xxx";;;
"George W. Bush";3414021;8574506;2002-01-02T18:35:22Z;1009917962000;DELETED;1;0;"144.132.75.xxx";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574508;2002-02-25T15:51:15Z;1009992922000;ADDED;18;0;"Ed Poor";;;
"George W. Bush";3414021;8574508;2002-02-25T15:51:15Z;1009992922000;DELETED;1;0;"Ed Poor";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574510;2002-03-10T01:26:54Z;1014648675000;ADDED;10;0;"Conversion script";;;
"George W. Bush";3414021;8574510;2002-03-10T01:26:54Z;1014648675000;DELETED;1;0;"Conversion script";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574510;2002-03-10T01:26:54Z;1014648675000;DELETED;8;0;"Conversion script";"The Cunctator";"The Cunctator";""
"George W. Bush";3414021;8574516;2002-04-01T14:16:38Z;1017659404000;ADDED;5;1;"192.41.67.2";;;
"George W. Bush";3414021;8574518;2002-04-06T07:12:10Z;1017663398000;ADDED;4;1;"208.187.51.75";;;
"George W. Bush";3414021;8574518;2002-04-06T07:12:10Z;1017663398000;DELETED;4;1;"208.187.51.75";"192.41.67.2";"192.41.67.2";""
"George W. Bush";3414021;8574526;2002-04-27T22:27:32Z;1018070411000;ADDED;73;1;"64.26.98.90";;;
"George W. Bush";3414021;8574526;2002-04-27T22:27:32Z;1018070411000;DELETED;1;1;"64.26.98.90";"65.164.176.xxx";"65.164.176.xxx";""
"George W. Bush";3414021;8574526;2002-04-27T22:27:32Z;1018070411000;DELETED;1;1;"64.26.98.90";"208.144.114.xxx";"208.144.114.xxx";""
"George W. Bush";3414021;8574526;2002-04-27T22:27:32Z;1018070411000;DELETED;23;1;"64.26.98.90";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574526;2002-04-27T22:27:32Z;1018070411000;DELETED;1;1;"64.26.98.90";"Aristotle~enwiki";"The ansible";"151.188.17.xxx"
"George W. Bush";3414021;8574534;2002-05-13T16:09:57Z;1020981361000;ADDED;28;1;"210.49.193.178";;;
"George W. Bush";3414021;8574534;2002-05-13T16:09:57Z;1020981361000;DELETED;10;1;"210.49.193.178";"64.26.98.90";"64.26.98.90";""
"George W. Bush";3414021;8574534;2002-05-13T16:09:57Z;1020981361000;DELETED;3;1;"210.49.193.178";"208.144.114.xxx";"208.144.114.xxx";""
"George W. Bush";3414021;8574534;2002-05-13T16:09:57Z;1020981361000;DELETED;10;1;"210.49.193.178";"Aristotle~enwiki";"Aristotle~enwiki";""
"George W. Bush";3414021;8574536;2002-05-22T02:08:40Z;1021298997000;ADDED;13;0;"The Cunctator";;;
"George W. Bush";3414021;8574540;2002-06-07T10:20:09Z;1022027476000;ADDED;2;1;"134.173.58.76";;;
"George W. Bush";3414021;8574540;2002-06-07T10:20:09Z;1022027476000;DELETED;1;1;"134.173.58.76";"The Cunctator";"The Cunctator";""
